id,date,description,counterparty,account,debit,credit,category,source,created_at
292,2026-04-04,Sold Plastic IBCs 1000L to Polymer international,Polymer international,Bank,0.0,377600.0,Sales - IBC Tanks,xlsm,2026-04-21 07:01:25
293,2026-04-04,Purchase Steel drum 200L - rusty  from Khalid plastic,Khalid plastic,Bank,26000.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
294,2026-04-04,"Purchase Steel drum 200L - with lacquer - once used, inside and outside clean  from Khalid plastic",Khalid plastic,Bank,62100.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
295,2026-04-04,Purchase Steel drum 200L - clean - dented - without lacquer from Khalid plastic,Khalid plastic,Bank,13200.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
296,2026-04-04,Purchase Steel drum 200L - rusty  from Khalid plastic,Khalid plastic,Bank,10400.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
297,2026-04-07,"Purchase Steel drum 200L - with lacquer - once used, inside and outside clean  from Saqib EPA - Port Qasim",Saqib EPA - Port Qasim,Bank,125400.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
298,2026-04-07,Purchase Steel drum 200L - foam/solution  from Saqib EPA - Port Qasim,Saqib EPA - Port Qasim,Bank,30000.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
299,2026-04-07,Purchase Steel Drum 25kg  from Saqib EPA - Port Qasim,Saqib EPA - Port Qasim,Bank,4620.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
300,2026-04-08,Payment received from Sika Pakistan,Sika Pakistan,Bank,1963160.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
301,2026-04-08,Payment to Saqib EPA - Port Qasim,Saqib EPA - Port Qasim,Bank,0.0,160020.0,Accounts Payable Payment,xlsm,2026-04-21 07:01:25
302,2026-04-09,Payment to Khalid plastic,Khalid plastic,Bank,0.0,400000.0,Accounts Payable Payment,xlsm,2026-04-21 07:01:25
303,2026-04-10,Payment to Khalid plastic,Khalid plastic,Bank,0.0,346640.0,Accounts Payable Payment,xlsm,2026-04-21 07:01:25
304,2026-04-13,Sold Plastic IBCs 1000L to Polymer international,Polymer international,Bank,0.0,377600.0,Sales - IBC Tanks,xlsm,2026-04-21 07:01:25
305,2026-04-13,Sold Plastic drum O/M 120L  to Polymer international,Polymer international,Bank,0.0,501500.0,Sales - Plastic Drums,xlsm,2026-04-21 07:01:25
306,2026-04-14,Payment to Tanveer drum,Tanveer drum,Bank,0.0,210800.0,Accounts Payable Payment,xlsm,2026-04-21 07:01:25
307,2026-04-14,"Purchase Steel drum 200L - with lacquer - once used, inside and outside clean  from Tanveer drum",Tanveer drum,Bank,59500.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
308,2026-04-14,Purchase Steel drum 200L - damage/cutting/cracked lacquer from Tanveer drum,Tanveer drum,Bank,36400.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
309,2026-04-14,Purchase Steel drum 200L - dented - with lacquer from Tanveer drum,Tanveer drum,Bank,3300.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
310,2026-04-14,"Purchase Steel drum 200L - without lacquer - once used, inside and outside clean  from Tanveer drum",Tanveer drum,Bank,7200.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
311,2026-04-14,"Purchase Steel drum 200L - without lacquer - once used, inside and outside clean  from Tanveer drum",Tanveer drum,Bank,104400.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
312,2026-04-15,"Sold Steel drum 200L - without lacquer - once used, inside and outside clean  to Polymer international",Polymer international,Bank,0.0,474124.0,Sales - Steel Drums,xlsm,2026-04-21 07:01:25
313,2026-04-17,"Purchase Steel drum 200L - with lacquer - once used, inside and outside clean  from Khalid plastic",Khalid plastic,Bank,34500.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
314,2026-04-17,"Purchase Steel drum 200L - without lacquer - once used, inside and outside clean  from Khalid plastic",Khalid plastic,Bank,36000.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
315,2026-04-17,Purchase Steel drum 200L - rusty  from Khalid plastic,Khalid plastic,Bank,36400.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
316,2026-04-18,Sold Plastic drum O/M 120L  to Polymer international,Polymer international,Bank,0.0,501500.0,Sales - Plastic Drums,xlsm,2026-04-21 07:01:25
317,2026-04-20,"Sold Steel drum 200L - with lacquer - once used, inside and outside clean  to Waseem resin",Waseem resin,Bank,0.0,738375.0,Sales - Steel Drums,xlsm,2026-04-21 07:01:25
